Condition,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
C,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
D,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
E,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
F,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
G,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Serum,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,SS_0.0,SS_0.0,SS_0.0,SS_0.0,SS_0.0,SS_0.5,SS_0.5,SS_0.5,SS_0.5,SS_0.5,
C,,SS_0.0,SS_0.0,SS_0.0,SS_0.0,SS_0.0,SS_0.5,SS_0.5,SS_0.5,SS_0.5,SS_0.5,
D,,SS_0.0,SS_0.0,SS_0.0,SS_0.0,SS_0.0,SS_0.5,SS_0.5,SS_0.5,SS_0.5,SS_0.5,
E,,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,
F,,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,
G,,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Seeding Density,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
C,,1,1,1,1,1,1,1,1,1,1,
D,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
E,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
F,,1,1,1,1,1,1,1,1,1,1,
G,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
H,,,,,,,,,,,,
