well,cell_ID,condition,serum,seeding_density,Nuclear_Area,DAPI
B11,OBJ1,CTL,SS_0.5,0.5,253,8109000
B11,OBJ2,CTL,SS_0.5,0.5,278,8463000
B11,OBJ3,CTL,SS_0.5,0.5,508,20610000
B11,OBJ4,CTL,SS_0.5,0.5,297,10830000
B11,OBJ5,CTL,SS_0.5,0.5,400,12730000
B11,OBJ6,CTL,SS_0.5,0.5,212,10200000
B11,OBJ7,CTL,SS_0.5,0.5,257,10760000
B11,OBJ8,CTL,SS_0.5,0.5,208,10130000
B11,OBJ9,CTL,SS_0.5,0.5,236,11110000
B11,OBJ10,CTL,SS_0.5,0.5,281,9292000
B11,OBJ11,CTL,SS_0.5,0.5,791,22930000
B11,OBJ12,CTL,SS_0.5,0.5,378,10930000
B11,OBJ13,CTL,SS_0.5,0.5,376,18400000
B11,OBJ14,CTL,SS_0.5,0.5,224,19520000
B11,OBJ15,CTL,SS_0.5,0.5,357,10820000
B11,OBJ16,CTL,SS_0.5,0.5,260,20000000
B11,OBJ17,CTL,SS_0.5,0.5,306,20080000
B11,OBJ18,CTL,SS_0.5,0.5,285,17940000
B11,OBJ19,CTL,SS_0.5,0.5,413,9875000
B11,OBJ20,CTL,SS_0.5,0.5,422,9843000
B11,OBJ21,CTL,SS_0.5,0.5,430,10360000
B11,OBJ22,CTL,SS_0.5,0.5,793,21140000
B11,OBJ23,CTL,SS_0.5,0.5,375,16080000
B11,OBJ24,CTL,SS_0.5,0.5,243,10430000
B11,OBJ25,CTL,SS_0.5,0.5,586,10440000
B11,OBJ26,CTL,SS_0.5,0.5,435,20710000
B11,OBJ27,CTL,SS_0.5,0.5,394,18900000
B11,OBJ28,CTL,SS_0.5,0.5,232,10300000
B11,OBJ29,CTL,SS_0.5,0.5,310,12220000
B11,OBJ30,CTL,SS_0.5,0.5,313,12200000
B11,OBJ31,CTL,SS_0.5,0.5,641,24270000
B11,OBJ32,CTL,SS_0.5,0.5,558,10350000
B11,OBJ33,CTL,SS_0.5,0.5,526,15790000
B11,OBJ34,CTL,SS_0.5,0.5,324,10750000
B11,OBJ35,CTL,SS_0.5,0.5,351,13510000
B11,OBJ36,CTL,SS_0.5,0.5,237,9266000
B11,OBJ37,CTL,SS_0.5,0.5,291,8450000
B11,OBJ38,CTL,SS_0.5,0.5,230,11820000
B11,OBJ39,CTL,SS_0.5,0.5,469,11840000
B11,OBJ40,CTL,SS_0.5,0.5,389,14390000
B11,OBJ41,CTL,SS_0.5,0.5,401,18220000
B11,OBJ42,CTL,SS_0.5,0.5,363,14890000
B11,OBJ43,CTL,SS_0.5,0.5,626,22830000
B11,OBJ44,CTL,SS_0.5,0.5,227,17650000
B11,OBJ45,CTL,SS_0.5,0.5,397,11630000
B11,OBJ46,CTL,SS_0.5,0.5,348,22440000
B11,OBJ47,CTL,SS_0.5,0.5,519,23600000
B11,OBJ48,CTL,SS_0.5,0.5,252,17940000
B11,OBJ49,CTL,SS_0.5,0.5,376,23140000
B11,OBJ50,CTL,SS_0.5,0.5,602,23780000
B11,OBJ51,CTL,SS_0.5,0.5,212,9113000
B11,OBJ52,CTL,SS_0.5,0.5,713,24070000
B11,OBJ53,CTL,SS_0.5,0.5,455,11150000
B11,OBJ54,CTL,SS_0.5,0.5,246,9487000
B11,OBJ55,CTL,SS_0.5,0.5,214,9398000
B11,OBJ56,CTL,SS_0.5,0.5,481,23730000
B11,OBJ57,CTL,SS_0.5,0.5,269,9522000
B11,OBJ58,CTL,SS_0.5,0.5,298,10870000
B11,OBJ59,CTL,SS_0.5,0.5,350,19900000
B11,OBJ60,CTL,SS_0.5,0.5,253,8947000
B11,OBJ61,CTL,SS_0.5,0.5,283,9175000
B11,OBJ62,CTL,SS_0.5,0.5,253,9248000
B11,OBJ63,CTL,SS_0.5,0.5,381,10990000
B11,OBJ64,CTL,SS_0.5,0.5,307,10930000
B11,OBJ65,CTL,SS_0.5,0.5,278,8471000
B11,OBJ66,CTL,SS_0.5,0.5,230,8456000
B11,OBJ67,CTL,SS_0.5,0.5,403,11850000
B11,OBJ68,CTL,SS_0.5,0.5,236,8355000
B11,OBJ69,CTL,SS_0.5,0.5,281,10420000
B11,OBJ70,CTL,SS_0.5,0.5,308,8308000
B11,OBJ71,CTL,SS_0.5,0.5,310,12980000
B11,OBJ72,CTL,SS_0.5,0.5,280,8886000
B11,OBJ73,CTL,SS_0.5,0.5,425,16530000
B11,OBJ74,CTL,SS_0.5,0.5,346,11160000
B11,OBJ75,CTL,SS_0.5,0.5,245,12540000
B11,OBJ76,CTL,SS_0.5,0.5,318,9247000
B11,OBJ77,CTL,SS_0.5,0.5,256,8240000
B11,OBJ78,CTL,SS_0.5,0.5,313,10050000
B11,OBJ79,CTL,SS_0.5,0.5,261,8466000
B11,OBJ80,CTL,SS_0.5,0.5,307,12680000
B11,OBJ81,CTL,SS_0.5,0.5,557,20700000
B11,OBJ82,CTL,SS_0.5,0.5,266,9588000
B11,OBJ83,CTL,SS_0.5,0.5,885,21910000
B11,OBJ84,CTL,SS_0.5,0.5,413,8400000
B11,OBJ85,CTL,SS_0.5,0.5,288,9250000
B11,OBJ86,CTL,SS_0.5,0.5,312,13430000
B11,OBJ87,CTL,SS_0.5,0.5,295,8295000
B11,OBJ88,CTL,SS_0.5,0.5,492,21990000
B11,OBJ89,CTL,SS_0.5,0.5,380,9803000
B11,OBJ90,CTL,SS_0.5,0.5,470,16920000
B11,OBJ91,CTL,SS_0.5,0.5,236,8414000
B11,OBJ92,CTL,SS_0.5,0.5,494,8417000
B11,OBJ93,CTL,SS_0.5,0.5,451,8718000
B11,OBJ94,CTL,SS_0.5,0.5,205,8570000
B11,OBJ95,CTL,SS_0.5,0.5,228,7952000
B11,OBJ96,CTL,SS_0.5,0.5,399,16680000
B11,OBJ97,CTL,SS_0.5,0.5,207,9995000
B11,OBJ98,CTL,SS_0.5,0.5,611,19840000
B11,OBJ99,CTL,SS_0.5,0.5,234,18520000
B11,OBJ100,CTL,SS_0.5,0.5,359,14400000
B11,OBJ101,CTL,SS_0.5,0.5,430,19330000
B11,OBJ102,CTL,SS_0.5,0.5,356,9691000
B11,OBJ103,CTL,SS_0.5,0.5,415,21610000
B11,OBJ104,CTL,SS_0.5,0.5,355,15850000
B11,OBJ105,CTL,SS_0.5,0.5,238,8556000
B11,OBJ106,CTL,SS_0.5,0.5,799,24220000
B11,OBJ107,CTL,SS_0.5,0.5,360,15060000
B11,OBJ108,CTL,SS_0.5,0.5,241,10050000
B11,OBJ109,CTL,SS_0.5,0.5,598,22550000
B11,OBJ110,CTL,SS_0.5,0.5,384,13190000
B11,OBJ111,CTL,SS_0.5,0.5,397,10970000
B11,OBJ112,CTL,SS_0.5,0.5,276,10240000
B11,OBJ113,CTL,SS_0.5,0.5,258,9039000
B11,OBJ114,CTL,SS_0.5,0.5,805,20530000
B11,OBJ115,CTL,SS_0.5,0.5,494,11020000
B11,OBJ116,CTL,SS_0.5,0.5,323,9608000
B11,OBJ117,CTL,SS_0.5,0.5,476,12050000
B11,OBJ118,CTL,SS_0.5,0.5,284,9718000
B11,OBJ119,CTL,SS_0.5,0.5,303,11960000
B11,OBJ120,CTL,SS_0.5,0.5,784,22200000
B11,OBJ121,CTL,SS_0.5,0.5,620,22530000
B11,OBJ122,CTL,SS_0.5,0.5,451,11710000
B11,OBJ123,CTL,SS_0.5,0.5,303,10200000
B11,OBJ124,CTL,SS_0.5,0.5,442,11430000
B11,OBJ125,CTL,SS_0.5,0.5,313,11320000
B11,OBJ126,CTL,SS_0.5,0.5,455,11170000
B11,OBJ127,CTL,SS_0.5,0.5,372,11530000
B11,OBJ128,CTL,SS_0.5,0.5,237,19860000
B11,OBJ129,CTL,SS_0.5,0.5,723,33570000
B11,OBJ130,CTL,SS_0.5,0.5,282,10490000
B11,OBJ131,CTL,SS_0.5,0.5,422,10560000
B11,OBJ132,CTL,SS_0.5,0.5,239,11630000
B11,OBJ133,CTL,SS_0.5,0.5,366,11140000
B11,OBJ134,CTL,SS_0.5,0.5,391,8453000
B11,OBJ135,CTL,SS_0.5,0.5,701,20870000
B11,OBJ136,CTL,SS_0.5,0.5,525,21370000
B11,OBJ137,CTL,SS_0.5,0.5,547,12080000
B11,OBJ138,CTL,SS_0.5,0.5,366,12730000
B11,OBJ139,CTL,SS_0.5,0.5,385,21650000
B11,OBJ140,CTL,SS_0.5,0.5,329,19980000
B11,OBJ141,CTL,SS_0.5,0.5,430,16300000
B11,OBJ142,CTL,SS_0.5,0.5,437,21960000
B11,OBJ143,CTL,SS_0.5,0.5,301,9120000
B11,OBJ144,CTL,SS_0.5,0.5,509,20260000
