Condition,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
C,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
D,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
E,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
F,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
G,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Serum,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,
C,,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,
D,,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,
E,,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,
F,,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,
G,,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,
H,,,,,,,,,,,,
